,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
306,Пролетарский район,Наезд на пешехода,17:55,10.09.2017,54.2025,,,37.6369
307,Центральный район,Наезд на пешехода,22:50,09.09.2017,54.1922,,,37.6197
308,Советский район,Наезд на пешехода,16:20,08.09.2017,54.3192,,,37.1078
309,Пролетарский район,Наезд на пешехода,20:00,07.09.2017,54.3025,,,37.1183
310,Зареченский район,Наезд на пешехода,18:20,07.09.2017,54.2289,,,37.6281
311,Привокзальный район,Наезд на пешехода,23:30,04.09.2017,54.3347,,,37.0844
312,Пролетарский район,Наезд на пешехода,19:55,02.09.2017,54.2083,,,37.6719
313,Центральный район,Наезд на пешехода,17:00,02.09.2017,54.1742,,,37.6717
314,Центральный район,Наезд на пешехода,15:40,01.09.2017,54.6183,,,37.4864
315,Советский район,Наезд на пешехода,16:05,31.08.2017,54.3178,,,37.9836
316,Зареченский район,Наезд на пешехода,18:40,29.09.2017,54.2392,,,37.6372
317,Центральный район,Наезд на пешехода,12:20,23.09.2017,54.1922,,,37.6203
318,Зареченский район,Наезд на пешехода,19:45,23.09.2017,54.215,,,37.635
319,Привокзальный район,Наезд на пешехода,15:00,22.09.2017,54.1881,,,37.5594
320,Советский район,Наезд на пешехода,16:45,20.09.2017,54.1931,,,37.6114
321,Пролетарский район,Наезд на пешехода,16:25,19.09.2017,54.2206,,,37.6889
322,Пролетарский район,Наезд на пешехода,14:00,17.09.2017,54.2053,,,37.6761
323,Центральный район,Наезд на пешехода,18:30,17.09.2017,54.1617,,,37.1025
324,Привокзальный район,Наезд на пешехода,20:29,16.09.2017,54.1686,,,37.5692
325,Центральный район,Наезд на пешехода,12:30,16.09.2017,54.3019,,,37.1017
326,Центральный район,Наезд на пешехода,11:15,16.09.2017,54.1892,,,37.6228
327,Пролетарский район,Наезд на пешехода,20:45,13.10.2017,54.1931,,,37.6292
328,Центральный район,Наезд на пешехода,00:10,13.10.2017,5.1811,,,37.6042
